date,type,teams,assets
2016-10-22,Waived,TOR,Jarrod Uthoff
2016-10-22,Waived,TOR,Yanick Moreira
2017-02-14,Traded,TOR;ORL,[Serge Ibaka];[Terrence Ross;Anzejs Pasecniks]
2017-02-23,Traded,TOR;PHO,[P.J. Tucker];[Jared Sullinger;Alec Peters;2018 Round 2 Draft Pick (George King)]
2017-06-22,Drafted,TOR,OG Anunoby
2017-07-06,Signed,TOR,Malcolm Miller
2017-07-07,Signed,TOR,Kyle Lowry
2017-07-07,Signed,TOR,Serge Ibaka
2017-07-09,Signed,TOR,Alfonzo McKinnie
2017-07-09,Signed,TOR,OG Anunoby
2017-07-13,Traded,TOR;BRK,[Justin Hamilton];[DeMarre Carroll;2018 Round 1 Draft Pick (Dzanan Musa);2018 Round 2 Draft Pick (Rodions Kurucs)]
2017-07-14,Traded,IND;TOR,[Cory Joseph];[Emir Preldzic]
2017-07-14,Waived,TOR,Justin Hamilton
2017-07-18,Signed,TOR,Kennedy Meeks
2017-07-18,Signed,TOR,C.J. Miles
2017-07-25,Signed,TOR,Lorenzo Brown
2017-08-15,Signed,TOR,Kyle Wiltjer
2017-08-22,Signed,TOR,K.J. McDaniels
2017-09-25,Signed,TOR,Andy Rautins
2017-10-07,Waived,TOR,Kyle Wiltjer
2017-10-07,Waived,TOR,Andy Rautins
2017-10-07,Waived,TOR,Kennedy Meeks
2017-10-08,Signed,TOR,Norman Powell
2017-10-11,Signed,TOR,Davion Berry
2017-10-14,Waived,TOR,Davion Berry
2017-10-22,Waived,TOR,K.J. McDaniels
2018-02-08,Traded,SAC;TOR,[Bruno Caboclo];[Malachi Richardson]
2018-03-06,Signed,TOR,Nigel Hayes
2018-07-06,Signed,TOR,Fred VanVleet
2018-07-17,Waived,TOR,Alfonzo McKinnie
2018-07-18,Traded,TOR;SAS,[Danny Green;Kawhi Leonard];[DeMar DeRozan;Jakob Poltl;2019 Round 1 Draft Pick (Keldon Johnson)]
2018-07-20,Signed,TOR,Chris Boucher
2018-07-20,Signed,TOR,Lorenzo Brown
2018-08-07,Signed,TOR,Jordan Loyd
2018-08-10,Signed,TOR,Greg Monroe
2018-08-20,Signed,TOR,Kay Felder
2018-09-13,Signed,TOR,Kyle Collinsworth
2018-09-13,Signed,TOR,Deng Adel
2018-09-21,Signed,TOR,Eric Moreland
2018-10-12,Signed,TOR,Malcolm Miller
2018-10-12,Signed,TOR,Chris Boucher
2018-10-13,Waived,TOR,Deng Adel
2018-10-13,Waived,TOR,Kyle Collinsworth
2018-10-13,Waived,TOR,Kay Felder
2018-10-13,Waived,TOR,Eric Moreland
2018-10-13,Waived,TOR,Malcolm Miller
2019-01-07,Waived,TOR,Lorenzo Brown
2019-01-10,Signed,TOR,Patrick McCaw
2019-02-06,Traded,PHI;TOR,[2022 Round 2 Draft Pick;Emir Preldzic;Malachi Richardson];[]
2019-02-06,Traded,TOR,2022 Round 2 Draft Pick
2019-02-07,Traded,TOR;BRK,[];[Greg Monroe;2021 Round 2 Draft Pick (JT Thor)]
2019-02-07,Traded,MEM;TOR,[2024 Round 2 Draft Pick;C.J. Miles;Jonas Valanciunas;Delon Wright];[Marc Gasol]
2019-02-07,Traded,TOR,Greg Monroe
2019-02-09,Signed,TOR,Malcolm Miller
2019-02-10,Converted,TOR,Chris Boucher
2019-02-13,Signed,TOR,Jeremy Lin
2019-02-20,Signed,TOR,Jodie Meeks
2019-03-14,Signed,TOR,Eric Moreland
2019-03-26,Signed,TOR,Jodie Meeks
2019-04-09,Signed,TOR,Eric Moreland
2019-06-20,Drafted,TOR,Dewan Hernandez
2019-07-07,Signed,TOR,Patrick McCaw
2019-07-10,Signed,TOR,Stanley Johnson
2019-07-11,Signed,TOR,Terence Davis
2019-07-12,Signed,TOR,Dewan Hernandez
2019-07-17,Signed,TOR,Rondae Hollis-Jefferson
2019-07-19,Signed,TOR,Matt Thomas
2019-07-22,Signed,TOR,Devin Robinson
2019-07-23,Signed,TOR,Oshae Brissett
2019-07-23,Signed,TOR,Sagaba Konate
2019-07-24,Signed,TOR,Cameron Payne
2019-08-02,Waived,TOR,Jordan Loyd
2019-09-19,Signed,TOR,Isaiah Taylor
2019-10-14,Signed,TOR,Kyle Lowry
2019-10-16,Waived,TOR,Sagaba Konate
2019-10-17,Signed,TOR,Matt Morgan
2019-10-18,Waived,TOR,Matt Morgan
2019-10-19,Waived,TOR,Cameron Payne
2019-10-19,Waived,TOR,Devin Robinson
2019-10-20,Signed,TOR,Tyler Ennis
2019-10-20,Waived,TOR,Tyler Ennis
2019-10-21,Signed,TOR,Pascal Siakam
2019-10-21,Signed,TOR,Oshae Brissett
2019-10-22,Waived,TOR,Isaiah Taylor
2019-10-23,Signed,TOR,Shamorie Ponds
2020-01-15,Signed,TOR,Paul Watson
