1985-06-18,Drafted,PHO,Jerry Everett
1985-06-18,Drafted,PHO,Granger Hall
1985-06-18,Drafted,PHO,Shawn Campbell
1985-06-18,Drafted,PHO,Charles Rayne
1985-06-18,Drafted,PHO,Georgi Glouchkov
1985-06-18,Drafted,POR,Terry Porter
1985-06-18,Drafted,POR,Mike Smrek
1985-06-18,Drafted,POR,George Montgomery
1985-06-18,Drafted,POR,Perry Young
1985-06-18,Drafted,POR,Joe Atkinson
1985-06-18,Drafted,POR,James Anderson
1985-06-18,Drafted,POR,Curtis Moore
1985-06-18,Drafted,POR,Mark Owen
1985-06-18,Drafted,SAS,Alfredrick Hughes
1985-06-18,Drafted,SAS,Mike Brittain
1985-06-18,Drafted,SAS,Tyrone Corbin
1985-06-18,Drafted,SAS,Scott Roth
1985-06-18,Drafted,SAS,Clayton Olivier
1985-06-18,Drafted,SAS,Chris Harper
1985-06-18,Drafted,SAS,Al Young
1985-06-18,Drafted,SEA,Xavier McDaniel
1985-06-18,Drafted,SEA,Rolando Lamb
1985-06-18,Drafted,SEA,Alex Stivrins
1985-06-18,Drafted,SEA,Lou Stefanovic
1985-06-18,Drafted,SEA,Earl Walker
1985-06-18,Drafted,SEA,Michael Phelps
1985-06-18,Drafted,UTA,Karl Malone
1985-06-18,Drafted,UTA,Carey Scurry
1985-06-18,Drafted,UTA,Delaney Rudd
1985-06-18,Drafted,UTA,Ray Hall
1985-06-18,Drafted,UTA,Jim Miller
1985-06-18,Drafted,UTA,Mike Wacker
1985-06-18,Drafted,WSB,Kenny Green
1985-06-18,Drafted,WSB,Manute Bol
1985-06-18,Drafted,WSB,Vernon Moore
1985-06-18,Drafted,WSB,Kenny Perry
1985-06-18,Drafted,WSB,Richie Adams
1985-06-18,Drafted,WSB,Dean Shaffer
1985-06-18,Drafted,WSB,Matt England
1985-06-18,Drafted,WSB,Keith Gray
1985-06-19,Waived,SAS,Billy Knight
1985-07-01,Waived,CHI,Wes Matthews
1985-07-01,Waived,CLE,Mark Davis
1985-07-16,Waived,SAS,Linton Townes
1985-07-16,Waived,SAS,David Thirdkill
1985-07-24,Waived,LAC,Billy McKinney
1985-07-25,Waived,MIL,Cozell McQueen
1985-07-25,Waived,MIL,Mario Elie
1985-08-01,Signed,DEN,Eddie Hughes
1985-08-01,Traded,IND;HOU,[];[Granville Waiters]
1985-08-01,Traded,IND,Granville Waiters
1985-08-05,Waived,POR,Tom Scheffler
1985-08-09,Traded,SAC;MIL,[];[Mark McNamara]
1985-08-09,Traded,SAC,Mark McNamara
1985-08-13,Signed,SAC,David Cooke
1985-08-19,Traded,LAL;PHO,[Maurice Lucas];[1988 Round 2 Draft Pick (Steve Kerr);1989 Round 2 Draft Pick (Greg Grant)]
1985-08-21,Traded,GSW,Mickey Johnson
1985-08-21,Traded,NJN;GSW,[Mickey Johnson];[]
1985-08-23,Signed,DAL,Dennis Nutt
1985-08-29,Signed,GSW,Ron Crevier
1985-08-29,Waived,LAL,Jamaal Wilkes
1985-09-03,Traded,BOS,Quinn Buckner
1985-09-03,Traded,IND;BOS,[Quinn Buckner];[]
1985-09-05,Signed,CLE,Derrick Rowland
1985-09-06,Traded,BOS;LAC,[Bill Walton];[Cedric Maxwell;1986 Round 1 Draft Pick (Arvydas Sabonis)]
1985-09-10,Signed,LAL,Chuck Nevitt
1985-09-10,Signed,SAC,Carl Henry
1985-09-11,Signed,CLE,Dirk Minniefield
1985-09-11,Waived,UTA,Billy Paultz
1985-09-12,Signed,BOS,David Thirdkill
1985-09-12,Signed,GSW,Chris McNealy
1985-09-17,Waived,CLE,Kevin Williams
1985-09-17,Signed,NJN,Bobby Cattage
1985-09-17,Signed,SAC,Rich Kelley
1985-09-20,Traded,DAL,Jeff Cross
1985-09-20,Traded,PHI;DAL,[Jeff Cross];[]
1985-09-20,Signed,POR,Ken Green
1985-09-20,Signed,SAC,Joe Binion
1985-09-23,Waived,ATL,Sly Williams
1985-09-24,Waived,DET,Spud Webb
1985-09-25,Signed,CHI,Billy McKinney
1985-09-25,Signed,SEA,Brian Martin
1985-09-26,Signed,ATL,Spud Webb
1985-09-26,Signed,BOS,Sly Williams
1985-09-26,Signed,LAC,Ray Williams
1985-09-26,Released,GSW,Steve Burtt
1985-09-26,Signed,MIL,McKinley Singleton
1985-09-26,Signed,MIL,Jeff Lamp
1985-09-26,Signed,WSB,Perry Moss
1985-09-27,Signed,LAC,Jamaal Wilkes
1985-09-27,Signed,NYK,Clinton Wheeler
1985-09-30,Signed,MIL,Bryan Warrick
1985-10-01,Signed,POR,Caldwell Jones
1985-10-02,Waived,PHI,Derrick Gervin
1985-10-03,Traded,IND;BOS,[1990 Round 2 Draft Pick (Kenny Williams)];[Jerry Sichting]
1985-10-03,Waived,DEN,Eddie Hughes
1985-10-03,Waived,PHI,Jeff Cross
1985-10-03,Waived,POR,Ken Green
1985-10-04,Signed,CHI,Kyle Macy
1985-10-04,Waived,IND,Devin Durrant
1985-10-05,Signed,SEA,Jeff Cross
1985-10-07,Waived,CHI,Adrian Branch
1985-10-07,Waived,SAC,David Pope
1985-10-09,Sold,LAL,Earl Jones
1985-10-09,Signed,PHO,Devin Durrant
1985-10-09,Acquired,SAS,Earl Jones
1985-10-10,Waived,MIL,Paul Thompson
1985-10-11,Waived,DAL,Dennis Nutt
1985-10-11,Waived,POR,Perry Young
1985-10-11,Waived,SAC,Joe Binion
